Date,South West Pacific,South East Pacific,PNG/Solomon Islands,Vanuatu,New Caledonia,Samoa,Raoul/Curtis,Society Islands,New Zealand
03-Jan-2009,8.33,0,1.09,1.39,1.48,2.04,0.42,0.68,2.07
04-Jan-2009,10.68,0,1.02,0.94,1.21,2.19,1.22,0.91,2.62
05-Jan-2009,9.29,0,0.54,1.89,1.89,2.98,1.5,1.22,2.16
06-Jan-2009,10.31,0,0.89,1.9,2.28,2.38,1.08,2.08,1.48
07-Jan-2009,9,0,0.6,0.5,0.62,1.47,1.92,1.07,2
08-Jan-2009,3.8,0,0.84,0.77,0.63,1.14,0.34,0.76,0.6
09-Jan-2009,4.17,0,1.2,0.64,0.43,0.97,0.29,0.61,1.38
10-Jan-2009,5.99,0,0.29,0.57,0.62,1.03,0.31,0.88,1.72
11-Jan-2009,2.84,0,1.01,0.29,0.3,0.66,0.41,0.4,0.91
12-Jan-2009,4.11,0,0.46,0.78,0.77,1.8,0.12,0.5,0.53
13-Jan-2009,3.36,0,0.69,0.27,0.65,0.83,0.54,0.44,0.97
14-Jan-2009,7.23,0,1.27,0.99,0.83,1.47,0.9,1.09,1.33
15-Jan-2009,5.57,0,1.52,1.34,0.46,1.54,0.43,0.8,0.68
16-Jan-2009,3.8,0,2.72,1.08,0.52,1.12,0.12,0.49,0.4
17-Jan-2009,5.69,0,1.32,1.39,0.84,2.07,0.08,0.53,1.32
18-Jan-2009,12.07,0,2.8,1.51,1.18,2.17,0.37,0.51,1.33
19-Jan-2009,8.36,0,1.2,1.04,1.12,2.7,1.08,1.02,1.24
20-Jan-2009,8.37,0,0.86,1.41,0.76,2.47,0.48,0.98,1.43
21-Jan-2009,7.8,0,1.31,2.75,2.16,3.03,0.63,1.01,1.36
22-Jan-2009,6.69,0,1.59,1.45,0.83,1.46,0.44,1.04,0.8
23-Jan-2009,5.15,0,1.96,2.7,1.49,2.53,0.11,0.71,0.38
24-Jan-2009,3.67,0,1.31,2.57,0.63,2.96,0.15,0.46,0.38
25-Jan-2009,3.99,0,1.88,4.58,2.06,3.41,0.12,0.59,0.25
26-Jan-2009,2.67,0,1.48,1.43,0.68,1.92,0.13,0.5,0.23
27-Jan-2009,5.43,0,2.81,1.53,0.65,3.14,0.34,0.44,0.29
28-Jan-2009,4.57,0,1.18,1.41,0.98,1.32,0.13,0.91,0.19
29-Jan-2009,3.68,0,1.7,1.35,0.62,0.98,0.21,0.34,0.45
30-Jan-2009,6.45,0,1.67,1.35,0.84,2.24,0.19,0.62,0.36
31-Jan-2009,10.35,0,0.47,0.98,0.52,2.38,0.08,0.23,0.33
02-Feb-2009,9.92,0,1.17,1.06,0.72,1.85,0.42,0.59,1.26
03-Feb-2009,7.27,0,1,0.88,1.36,2.24,1.27,1.05,1.81
04-Feb-2009,5.06,0,2.55,0.21,0.33,0.88,0.49,1.02,0.73
05-Feb-2009,4.74,0,0.6,0.82,0.59,1.71,0.19,0.86,1.05
06-Feb-2009,4.02,0,2.29,0.13,0.21,0.66,0.14,1.16,0.58
07-Feb-2009,3.41,0,1.1,0.06,0.39,0.59,0.33,0.65,0.65
08-Feb-2009,5.3,0,0.88,1.7,1.68,2.35,0.35,1.07,0.45
09-Feb-2009,5.21,0,0.73,0.71,0.59,1.47,0.21,0.76,0.32
10-Feb-2009,3.01,0,1.09,0.59,0.51,1.48,0.36,0.23,0.36
11-Feb-2009,5.53,0,0.91,0.7,0.34,1.57,0.1,1.17,0.7
12-Feb-2009,5.31,0,1.44,0.75,0.69,1.02,0.04,0.63,1.46
13-Feb-2009,4.51,0,1.49,2.63,1.76,1.67,0.17,0.84,0.48
14-Feb-2009,4.82,0,1.96,0.84,0.38,1.3,0.06,1,0.18
15-Feb-2009,7.53,0,2.22,0.95,0.52,2.12,0.15,1.94,0.42
16-Feb-2009,4.39,0,1.88,0.57,0.18,1.22,0.05,0.82,0.35
17-Feb-2009,4.25,0,0.85,1.43,0.72,1.84,0.16,1.21,0.48
18-Feb-2009,4.08,0,2.16,0.87,0.32,1.69,0.02,0.71,0.94
